エノが行きがかりでバスに乗ってしまい、気分が悪くなった際に助けるが、今すぐバスを降りたいと運転手に頼む際、本当のことを言ってしまうと彼女が恥ずかしい思いをすると察して「僕ウンコしたいんです」と言ってバスを降りた。エノは内心「私もしたいみたいじゃないの」と思うも、別れ際にエノの髪を「ふわふわのお菓子みたい」と言い、この台詞に憧れていたエノに強い衝撃を与えた。この話を聞いたリコは、以後彼のことを『ウンコ王子』または『ウンコ』というあだ名で呼ぶようになったが、エノは普通に「戸田くん」と呼んでいる。,Japanese
シャーリー・フィールドは、サン・ベルナルド・アベニュー沿い市民センターとrtマーティン高校に隣接してある。年にマーティン高校と共に建設された。ラレド独立学区のアウトドア・アスレチックがあり、毎年ボーダー・オリンピックが開催される。通常席だが、エンドゾーンに追加席を加えることで席まで拡大できる。メキシコのプロ・サッカークラブがここで様々な練習試合を行い、天然芝が「良い」サッカー試合を作るとしている。フットボール、サッカーおよび陸上競技が行われる。この歴史ある競技場に大きな改修工事が計画されている。,Japanese
藤女の女性教師。歳。数学担当。風紀指導を担当しており、リコにとっては天敵。藤女とその伝統に強い誇りを抱いており、サヨの彼氏バレの際には厳しい態度を取る。その一方で体育祭の時に天ヶ崎が仕込んだ悪ふざけを承知の上で見逃したり、生徒会執行部が何事か画策しているのを悟りながらある一線を越えない限り黙認するなど、単なる堅物ではない一面ものぞかせる。体育祭の応援合戦でマキマキオから白いバラを受け取った際には、顔を真っ赤にしていた。,Japanese
教会旋法はまず終止音（finalis）によってつに分類される。そしてそれぞれが音域（ambitus）によって終止音から高くまで上がる正格（authenticus）とあまり上がらない変格（plagalis）のつに分けられる。 例えば、ドリア旋法はニ音を終止音とする正格旋法であり、ヒポドリア旋法はその変格旋法である。,Japanese
「mgr」という愛称で知られるm・g・ラーマチャンディランが、アンナードゥライの死後、ドラーヴィダ進歩党内で次第に勢力を増し、年にmgrはドラーヴィダ進歩党を去って全インド・アンナー・ドラーヴィダ進歩党を結成した。年にはmgrは州首相となり、年に歿するまで州首相職を務め続けた。mgrの死後、aiadmk党内ではmgrの妻であるr・ジャーナキとj・ジャヤラリターとの対立が激化し、両陣営の派閥に分裂した状態であったが、年に州議会選挙で党が敗北を喫したことを機に両派は歩み寄り、ジャヤラリターが代表として党を束ねることとなった。,Japanese
"バロンはブレスラウで、金モール職人ミヒャエル・バロンの家に生まれた。息子も同じ道を歩むことが期待されたが、バロンは幼い頃から音楽に関心を示し、後に自らの職業とした。年頃からコホットという名前のボヘミア人にリュートを学んだ。ブレスラウのエリザベート・ギムナジウムに入学し、年からライプツィヒ大学で哲学と法律を学んだ。年から年の間は各地の小宮廷を転々とした。ハレ、ケーテン、シュライツ、フェルト、ルードルシュタットを訪れた後、年にイェーナを訪れ、当地で年を過ごした。 その後、カッセル、フルダ、ヴュルツブルク、ニュルンベルク、レーゲンスブルクを経て、年にニュルンベルクで著作""historisch-theoretische und practische untersuchung des instruments der lauten""邦題『リュート―神々の楽器―』を出版した。主としてこの著作により彼の名は記憶に留められている。年にゴータの宮廷で、落馬事故により死亡したばかりのリュート奏者モイセルの後任となった。年間その地位に留まり、ゴータ公の没後アイゼナハに移った。年、メルゼブルク、ケーテンとツェルプストを訪れ、最終的にテオルボ奏者としてプロイセン皇太子フリードリヒの楽団に参加した。テオルボ購入の名目でドレスデン行きを許可された。ドレスデンで、リュート奏者シルヴィウス・レオポルト・ヴァイスとi・a・ホーファーから教えを受けた。年にフリードリヒの即位後、王立音楽協会のテオルボ奏者として仕え、亡くなるまでこの地位にとどまった。",Japanese
態の転換は接尾辞-gi-、-hi-、-i-によって表される。これらの接尾辞は現代朝鮮語と同様に、態の転換のみならず自動詞の他動詞化や形容詞の動詞化の際にも用いられる。例：ormgi-（移す）＜ orm-（移る）、japi-（捉えられる）＜ jab-（捉える）、siei-（立てる）＜ sie-（立つ）。また、ㄹ語幹に付く態転換接尾辞に- sar-（生きる）。,Japanese
アメリカ合衆国の対メキシコ貿易額の、メキシコの対米貿易額のがラレド港を出入り口としている。ラレドの経済と生活様式は商業と産業用倉庫業、輸入業および輸出業を中心に回っている。国際貿易の主要な担い手として北アメリカ自由貿易協定の成立で恩恵を受けた。市内のラレド国際空港からはヒューストン、ダラス、およびラスベガスに直行便が飛んでいる。ラレド港にはリオ・グランデ川を渡ってメキシコのタマウリパス州やヌエボ・レオン州に入るつの国際橋がある。,Japanese
初代中川会館は、年に立命館学園創立周年と学園創設者・中川小十郎の長寿を祝って広小路校地に建設された。もともと立命館大学校友会評議員会は、盛大な記念祝賀会や中川小十郎の銅像建設などを予定していた。これを知った中川から、銅像建設や祝賀会に資金をまわすより、学園の施設を充実してほしいと要望があり、年月日の校友大会で「中川会館」の建設が決定された。中川会館の建設費用は寄付金によって賄われ、教職員、学生・生徒、学園縁故者の協力で総額円銭が集まった。会館は年月に着工され、同年月日に竣工。鉄筋三階建で陸屋根造り、モルタル吹き付けの白亜の外壁に、腰は人造石洗出で仕上げられた。建坪は坪・m（延坪・m）で、地階は学生控室・食堂にあてられ、存心館に通じる地下通路があった。階部分は出版部、職員室、学生研究室、階は学長室、法学部研究室、文学科研究室、予科研究室、高等商業科研究室、階は総長公室、校友集会室、特別講義室、応接室にあてられた。記念室には久邇宮邦彦王殿下から中川総長に下賜された自作の詩の御書と銅製花瓶、西園寺公望から寄贈された書、白川義則大将寄贈の天壌無窮の銘ある花瓶、総長が明治天皇御聖像に奉献された靖広作の神剣や師の御霊が陳列されたほか尾竹竹坡画伯の風俗画、大理石でできた西園寺公の肖像などが飾られていた。竣工式前日に西園寺公望から送られた「南天」、「山梔子」各株ずつが会館玄関脇などに植樹された。,Japanese
マーズ・エクスプロレーション・ローバー mars exploration rover mer mission は、年にアメリカ航空宇宙局 nasa が打ち上げた、火星の表面と地質を探る機の無人火星探査車（マーズ・ローバー）である。これは、nasaが実施した 年と年のバイキング着陸船、年のマーズ・パスファインダーに続く火星探査プログラムの一部であり、ミッションの科学的目標は過去の火星に水の活動があった手がかりを持つ広範囲の岩石および土壌を探査し、その証拠を見つけ出すことである。ローバーはそれぞれスピリット mer-a とオポチュニティ mer-b と名付けられている。,Japanese
